City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Klaksvík,62.23,-6.59,50.0,100,34,13.87,FO,1592804066
Ushuaia,-54.8,-68.3,33.8,86,28,6.93,AR,1592803623
Nanortalik,60.14,-45.24,45.18,75,74,5.82,GL,1592803629
Rikitea,-23.12,-134.97,70.34,68,71,17.09,PF,1592803619
Ballina,-28.87,153.57,66.2,39,0,13.87,AU,1592804066
Genhe,50.78,121.52,67.84,41,87,6.71,CN,1592804066
Castro,-24.79,-50.01,56.23,82,0,3.67,BR,1592803626
Saint-Pierre,-21.34,55.48,75.99,57,47,3.36,RE,1592803804
Kahului,20.89,-156.47,82.4,51,40,11.41,US,1592803644
Lompoc,34.64,-120.46,57.2,93,90,6.93,US,1592803381
Punta Arenas,-53.15,-70.92,37.4,93,97,5.82,CL,1592803489
Waddān,29.16,16.14,72.66,45,0,8.16,LY,1592804067
Pevek,69.7,170.31,37.44,85,51,20.36,RU,1592803599
Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1592803623
Yerbogachën,61.28,108.01,79.59,44,86,4.74,RU,1592804067
Thompson,55.74,-97.86,55.4,93,75,2.68,CA,1592803626
Buala,-8.14,159.59,83.37,77,32,6.93,SB,1592804067
Port Blair,11.67,92.75,86.97,70,35,8.55,IN,1592803453
Pacific Grove,36.62,-121.92,57.2,87,90,9.17,US,1592803320
Batagay-Alyta,67.8,130.41,82.9,26,70,6.69,RU,1592804068
Itacaré,-14.28,-39.0,71.08,91,83,8.93,BR,1592804068
Puerto Ayora,-0.74,-90.35,68.0,94,26,1.01,EC,1592803623
Nizhneangarsk,55.78,109.55,63.28,50,7,4.03,RU,1592804068
Port Elizabeth,-33.92,25.57,48.2,93,22,3.36,ZA,1592803623
Tuktoyaktuk,69.45,-133.04,50.0,71,75,9.17,CA,1592803623
Jamestown,42.1,-79.24,68.0,88,20,4.7,US,1592803474
Cape Town,-33.93,18.42,51.01,100,20,3.36,ZA,1592803434
Mar del Plata,-38.0,-57.56,45.0,100,75,4.7,AR,1592803630
